dataset_index,v1_instruction,v2_instruction,input,v1_output,v2_output,system
10995,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6789T”的选项。,"身份：peasant_up
手牌：3466677789TTJJKKA
历史出牌：P0:56789 -> P1:pass
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. 6789T (顺子)
2. 789TJ (顺子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手顺子6789t出击 出牌：6789T。,在当前局势下，打出“6789T”本是最优策略，但由于特殊规则禁止出“6789T”，为了遵守指令，我选择次优方案打出“789TJ”。 出牌：789TJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11013,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“89TJQ”的选项。,"身份：landlord
手牌：3355689TTJQK22
历史出牌：P1:A -> P2:2 -> P0:R -> P1:pass -> P2:pass
局势信息：剩余牌数:[14, 16, 11]

当前可行出牌选项：
1. 89TJQ (顺子)
2. 89TJQK (顺子)
3. 9TJQK (顺子)
4. 55 (对子)
5. 33 (对子)
6. 22 (对子)
7. TT (对子)
8. 5 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出顺子89TJQ 出牌：89TJQ。,在当前局势下，打出“89TJQ”本是最优策略，但由于特殊规则禁止出“89TJQ”，为了遵守指令，我选择次优方案打出“89TJQK”。 出牌：89TJQK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11165,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9”的选项。,"身份：peasant_up
手牌：45688999TJQQKKAA2
历史出牌：P0:B -> P1:pass -> P2:pass -> P0:7 -> P1:8
局势信息：剩余牌数:[16, 14, 17]

当前可行出牌选项：
1. 9 (单张)
2. T (单张)
3. J (单张)
4. Q (单张)
5. 2 (单张)
6. K (单张)
7. A (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制8，出单张9刚好压住，保留大牌后手 出牌：9。,在当前局势下，打出“9”本是最优策略，但由于特殊规则禁止出“9”，为了遵守指令，我选择次优方案打出“T”。 出牌：T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11249,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“44”的选项。,"身份：peasant_up
手牌：34457899JK2
历史出牌：P0:pass -> P1:pass -> P2:6AAA -> P0:pass -> P1:pass
局势信息：剩余牌数:[18, 17, 11]

当前可行出牌选项：
1. 44 (对子)
2. 99 (对子)
3. 5 (单张)
4. 7 (单张)
5. 3 (单张)
6. 4 (单张)
7. J (单张)
8. K (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对4，清理散牌优化牌型，2作为底牌 出牌：44。,在当前局势下，打出“44”本是最优策略，但由于特殊规则禁止出“44”，为了遵守指令，我选择次优方案打出“99”。 出牌：99。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11451,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“99”的选项。,"身份：landlord
手牌：3447899TJJQKKA22
历史出牌：P1:888A -> P2:BR -> P0:pass -> P1:pass -> P2:44
局势信息：剩余牌数:[16, 13, 13]

当前可行出牌选项：
1. 99 (对子)
2. JJ (对子)
3. KK (对子)
4. 22 (对子)
5. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出对9，最小代价压制，2个2留作后手 出牌：99。,在当前局势下，打出“99”本是最优策略，但由于特殊规则禁止出“99”，为了遵守指令，我选择次优方案打出“JJ”。 出牌：JJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11500,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7777”的选项。,"身份：landlord
手牌：3556777789TQQQQKA2B
历史出牌：P0:2 -> P1:4444 -> P2:pass
局势信息：剩余牌数:[19, 13, 17]

当前可行出牌选项：
1. 7777 (炸弹)
2. QQQQ (炸弹)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出炸弹7，强势控场，限制对手出牌选择 出牌：7777。,在当前局势下，打出“7777”本是最优策略，但由于特殊规则禁止出“7777”，为了遵守指令，我选择次优方案打出“QQQQ”。 出牌：QQQQ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11585,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“55”的选项。,"身份：landlord
手牌：3455699TTB
历史出牌：P1:pass -> P2:pass -> P0:JJQQQ -> P1:pass -> P2:pass
局势信息：剩余牌数:[10, 17, 12]

当前可行出牌选项：
1. 55 (对子)
2. TT (对子)
3. 99 (对子)
4. 5 (单张)
5. 3 (单张)
6. 6 (单张)
7. 4 (单张)
8. B (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对5，消耗废牌减少手牌负担，小王留作压制 出牌：55。,在当前局势下，打出“55”本是最优策略，但由于特殊规则禁止出“55”，为了遵守指令，我选择次优方案打出“TT”。 出牌：TT。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11732,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9”的选项。,"身份：peasant_down
手牌：3666677889JJQAA22
历史出牌：P2:33344 -> P0:99TTT -> P1:pass -> P2:pass -> P0:7
局势信息：剩余牌数:[10, 17, 10]

当前可行出牌选项：
1. 9 (单张)
2. 8 (单张)
3. Q (单张)
4. J (单张)
5. A (单张)
6. 2 (单张)
7. 6666 (炸弹)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张9精准压制，最小代价夺取牌权  出牌：9。,在当前局势下，打出“9”本是最优策略，但由于特殊规则禁止出“9”，为了遵守指令，我选择次优方案打出“8”。 出牌：8。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11831,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“3456789”的选项。,"身份：landlord
手牌：3334567789JQQQK22R
历史出牌：P0:55 -> P1:pass -> P2:pass
局势信息：剩余牌数:[18, 17, 17]

当前可行出牌选项：
1. 3456789 (顺子)
2. 345678 (顺子)
3. 34567 (顺子)
4. 45678 (顺子)
5. 56789 (顺子)
6. 456789 (顺子)
7. 33322 (三带二)
8. 33QQQ (三带二)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子3456789，长牌一次性消耗多张，抢占节奏优势 出牌：3456789。,在当前局势下，打出“3456789”本是最优策略，但由于特殊规则禁止出“3456789”，为了遵守指令，我选择次优方案打出“345678”。 出牌：345678。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
11871,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9TJQK”的选项。,"身份：peasant_down
手牌：3444699TJQKK
历史出牌：P2:A -> P0:pass -> P1:2 -> P2:pass -> P0:pass
局势信息：剩余牌数:[15, 12, 16]

当前可行出牌选项：
1. 9TJQK (顺子)
2. 44499 (三带二)
3. 4446 (三带一)
4. 444 (三张)
5. 44 (对子)
6. KK (对子)
7. 99 (对子)
8. 3 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子9TJQK 出牌：9TJQK。,在当前局势下，打出“9TJQK”本是最优策略，但由于特殊规则禁止出“9TJQK”，为了遵守指令，我选择次优方案打出“44499”。 出牌：44499。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12065,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9999”的选项。,"身份：peasant_up
手牌：4445689999JJAA2B
历史出牌：P0:pass -> P1:T -> P2:K -> P0:pass -> P1:pass
局势信息：剩余牌数:[18, 12, 16]

当前可行出牌选项：
1. 9999 (炸弹)
2. 444AA (三带二)
3. 999AA (三带二)
4. 4446 (三带一)
5. 444 (三张)
6. 5999 (三带一)
7. 44 (对子)
8. 999 (三张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手炸弹9出击，压制对手争取优势 出牌：9999。,在当前局势下，打出“9999”本是最优策略，但由于特殊规则禁止出“9999”，为了遵守指令，我选择次优方案打出“444AA”。 出牌：444AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12090,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“33”的选项。,"身份：landlord
手牌：33467788QQK2
历史出牌：P1:pass -> P2:8 -> P0:2 -> P1:pass -> P2:pass
局势信息：剩余牌数:[12, 16, 14]

当前可行出牌选项：
1. 33 (对子)
2. 77 (对子)
3. QQ (对子)
4. 88 (对子)
5. 3 (单张)
6. 7 (单张)
7. 6 (单张)
8. 4 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对3，消耗废牌减少手牌负担，2留作压制 出牌：33。,在当前局势下，打出“33”本是最优策略，但由于特殊规则禁止出“33”，为了遵守指令，我选择次优方案打出“77”。 出牌：77。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12131,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“33”的选项。,"身份：peasant_up
手牌：3345788TJQ22R
历史出牌：P0:pass -> P1:pass -> P2:99 -> P0:pass -> P1:pass
局势信息：剩余牌数:[14, 11, 13]

当前可行出牌选项：
1. 33 (对子)
2. 22 (对子)
3. 88 (对子)
4. 5 (单张)
5. 7 (单张)
6. 3 (单张)
7. 4 (单张)
8. J (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手消耗废对子，策略是清理中低段散牌，保留2个2大王作为后手 出牌：33。,在当前局势下，打出“33”本是最优策略，但由于特殊规则禁止出“33”，为了遵守指令，我选择次优方案打出“22”。 出牌：22。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12180,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“345678”的选项。,"身份：landlord
手牌：34556778TQQKKA2
历史出牌：P0:88JJJ -> P1:pass -> P2:pass
局势信息：剩余牌数:[15, 17, 17]

当前可行出牌选项：
1. 345678 (顺子)
2. 34567 (顺子)
3. 45678 (顺子)
4. 77 (对子)
5. 55 (对子)
6. KK (对子)
7. QQ (对子)
8. 5 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子345678，长牌一次性消耗多张，抢占节奏优势 出牌：345678。,在当前局势下，打出“345678”本是最优策略，但由于特殊规则禁止出“345678”，为了遵守指令，我选择次优方案打出“34567”。 出牌：34567。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12205,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“TJQKA”的选项。,"身份：landlord
手牌：334555668TJQQKAA222B
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. TJQKA (顺子)
2. AA222 (三带二)
3. 55566 (三带二)
4. 555K (三带一)
5. 4222 (三带一)
6. 222 (三张)
7. 555 (三张)
8. 55 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手顺子TJQKA出击 出牌：TJQKA。,在当前局势下，打出“TJQKA”本是最优策略，但由于特殊规则禁止出“TJQKA”，为了遵守指令，我选择次优方案打出“AA222”。 出牌：AA222。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12288,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“99TTJJ”的选项。,"身份：landlord
手牌：356799TTTJJQKKKA222B
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 99TTJJ (连对)
2. JJKKK (三带二)
3. TTTJJ (三带二)
4. 99222 (三带二)
5. TJQKA (顺子)
6. 6KKK (三带一)
7. 6TTT (三带一)
8. 7222 (三带一)

请分析当前局势，进行战术推演，并做出最佳决策。",先手连对出击，一次性走掉6张，保持进攻节奏，对10被拆散，但清理散牌 出牌：99TTJJ。,在当前局势下，打出“99TTJJ”本是最优策略，但由于特殊规则禁止出“99TTJJ”，为了遵守指令，我选择次优方案打出“JJKKK”。 出牌：JJKKK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12308,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“77222”的选项。,"身份：landlord
手牌：45677JKAA222B
历史出牌：P0:89TJQKA -> P1:pass -> P2:pass
局势信息：剩余牌数:[13, 17, 17]

当前可行出牌选项：
1. 77222 (三带二)
2. 4222 (三带一)
3. 222 (三张)
4. 77 (对子)
5. AA (对子)
6. 5 (单张)
7. 7 (单张)
8. 6 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出222带对7，带牌策略消耗散牌，保持牌型完整 出牌：77222。,在当前局势下，打出“77222”本是最优策略，但由于特殊规则禁止出“77222”，为了遵守指令，我选择次优方案打出“4222”。 出牌：4222。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12309,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“44499”的选项。,"身份：peasant_up
手牌：444566799TJJQKK2
历史出牌：P0:A -> P1:2 -> P2:R -> P0:pass -> P1:pass
局势信息：剩余牌数:[11, 16, 16]

当前可行出牌选项：
1. 44499 (三带二)
2. 9TJQK (顺子)
3. 4446 (三带一)
4. 444 (三张)
5. 66 (对子)
6. 44 (对子)
7. KK (对子)
8. JJ (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出444带对9，组合出牌消耗对9，保留2后手 出牌：44499。,在当前局势下，打出“44499”本是最优策略，但由于特殊规则禁止出“44499”，为了遵守指令，我选择次优方案打出“9TJQK”。 出牌：9TJQK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12334,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“BR”的选项。,"身份：landlord
手牌：334KA2BR
历史出牌：P1:pass -> P2:K -> P0:2 -> P1:pass -> P2:pass
局势信息：剩余牌数:[8, 16, 15]

当前可行出牌选项：
1. BR (王炸)
2. 33 (对子)
3. 3 (单张)
4. 4 (单张)
5. B (单张)
6. K (单张)
7. R (单张)
8. 2 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出王炸，主动出击争取掌控比赛节奏 出牌：BR。,在当前局势下，打出“BR”本是最优策略，但由于特殊规则禁止出“BR”，为了遵守指令，我选择次优方案打出“33”。 出牌：33。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12409,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6”的选项。,"身份：peasant_down
手牌：35667889TTTTKKA2
历史出牌：P2:777QQ -> P0:JJJ22 -> P1:pass -> P2:pass -> P0:5
局势信息：剩余牌数:[13, 16, 11]

当前可行出牌选项：
1. 6 (单张)
2. 7 (单张)
3. 9 (单张)
4. T (单张)
5. 8 (单张)
6. A (单张)
7. 2 (单张)
8. K (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",出单张6刚好压住5，保留2作为底牌 出牌：6。,在当前局势下，打出“6”本是最优策略，但由于特殊规则禁止出“6”，为了遵守指令，我选择次优方案打出“7”。 出牌：7。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12478,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6”的选项。,"身份：peasant_down
手牌：344679TTJJJQA22BR
历史出牌：P0:4
局势信息：剩余牌数:[19, 17, 17]

当前可行出牌选项：
1. 6 (单张)
2. 7 (单张)
3. 9 (单张)
4. J (单张)
5. Q (单张)
6. T (单张)
7. A (单张)
8. BR (王炸)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张6精准压制，最小代价夺取牌权 出牌：6。,在当前局势下，打出“6”本是最优策略，但由于特殊规则禁止出“6”，为了遵守指令，我选择次优方案打出“7”。 出牌：7。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12521,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“444QQ”的选项。,"身份：peasant_down
手牌：334445789JQQB
历史出牌：P0:5KKK -> P1:9222 -> P2:pass -> P0:pass
局势信息：剩余牌数:[16, 13, 17]

当前可行出牌选项：
1. 444QQ (三带二)
2. 4448 (三带一)
3. 444 (三张)
4. 44 (对子)
5. 33 (对子)
6. QQ (对子)
7. 5 (单张)
8. 7 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出444带对Q，带走废对优化牌型 出牌：444QQ。,在当前局势下，打出“444QQ”本是最优策略，但由于特殊规则禁止出“444QQ”，为了遵守指令，我选择次优方案打出“4448”。 出牌：4448。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12550,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“55”的选项。,"身份：landlord
手牌：34556699TTKA
历史出牌：P1:pass -> P2:77 -> P0:22 -> P1:pass -> P2:pass
局势信息：剩余牌数:[12, 17, 11]

当前可行出牌选项：
1. 55 (对子)
2. 66 (对子)
3. TT (对子)
4. 99 (对子)
5. 5 (单张)
6. 3 (单张)
7. 6 (单张)
8. 4 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",打出对55，夺取牌权 出牌：55。,在当前局势下，打出“55”本是最优策略，但由于特殊规则禁止出“55”，为了遵守指令，我选择次优方案打出“66”。 出牌：66。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12681,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“A”的选项。,"身份：peasant_up
手牌：3334467799TJKKA22
历史出牌：P0:B -> P1:R -> P2:pass -> P0:pass -> P1:Q
局势信息：剩余牌数:[9, 6, 17]

当前可行出牌选项：
1. A (单张)
2. K (单张)
3. 2 (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出单张A刚好压住q，保留2个2作为底牌 出牌：A。,在当前局势下，打出“A”本是最优策略，但由于特殊规则禁止出“A”，为了遵守指令，我选择次优方案打出“K”。 出牌：K。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
12901,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“4”的选项。,"身份：peasant_down
手牌：334456778TJQKKAA2
历史出牌：P2:9TJQK -> P0:BR -> P1:pass -> P2:pass -> P0:3
局势信息：剩余牌数:[12, 17, 12]

当前可行出牌选项：
1. 4 (单张)
2. 5 (单张)
3. 6 (单张)
4. 7 (单张)
5. 8 (单张)
6. T (单张)
7. J (单张)
8. Q (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张4，最小代价压制，2留作后手 出牌：4。,在当前局势下，打出“4”本是最优策略，但由于特殊规则禁止出“4”，为了遵守指令，我选择次优方案打出“5”。 出牌：5。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13028,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“K”的选项。,"身份：landlord
手牌：455677889TTJKAAR
历史出牌：P1:66677 -> P2:pass -> P0:pass -> P1:9 -> P2:J
局势信息：剩余牌数:[16, 8, 9]

当前可行出牌选项：
1. K (单张)
2. R (单张)
3. A (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出单张K刚好压住j，保留大王作为底牌 出牌：K。,在当前局势下，打出“K”本是最优策略，但由于特殊规则禁止出“K”，为了遵守指令，我选择次优方案打出“R”。 出牌：R。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13033,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“K”的选项。,"身份：peasant_up
手牌：34449TJJQQKK222
历史出牌：P0:7 -> P1:pass -> P2:9 -> P0:Q -> P1:pass
局势信息：剩余牌数:[16, 14, 15]

当前可行出牌选项：
1. K (单张)
2. 2 (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出单张K，强势控场，限制对手出牌选择，对K被拆散，但消耗中段牌 出牌：K。,在当前局势下，打出“K”本是最优策略，但由于特殊规则禁止出“K”，为了遵守指令，我选择次优方案打出“2”。 出牌：2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13119,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“333QQ”的选项。,"身份：landlord
手牌：3334467TTQQKAR
历史出牌：P0:55556B -> P1:pass -> P2:pass
局势信息：剩余牌数:[14, 17, 17]

当前可行出牌选项：
1. 333QQ (三带二)
2. 333K (三带一)
3. 333 (三张)
4. 44 (对子)
5. 33 (对子)
6. QQ (对子)
7. TT (对子)
8. 3 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出333带对Q，组合出牌消耗对Q，保留大王后手 出牌：333QQ。,在当前局势下，打出“333QQ”本是最优策略，但由于特殊规则禁止出“333QQ”，为了遵守指令，我选择次优方案打出“333K”。 出牌：333K。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13283,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6789T”的选项。,"身份：landlord
手牌：344678999TTQQKAA
历史出牌：P0:K222 -> P1:pass -> P2:pass
局势信息：剩余牌数:[16, 17, 17]

当前可行出牌选项：
1. 6789T (顺子)
2. 999AA (三带二)
3. 6999 (三带一)
4. 999 (三张)
5. 44 (对子)
6. TT (对子)
7. AA (对子)
8. QQ (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出顺子6789T 出牌：6789T。,在当前局势下，打出“6789T”本是最优策略，但由于特殊规则禁止出“6789T”，为了遵守指令，我选择次优方案打出“999AA”。 出牌：999AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13337,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“8”的选项。,"身份：peasant_down
手牌：44556677899JQA2BR
历史出牌：P0:8QKKKK -> P1:pass -> P2:pass -> P0:7
局势信息：剩余牌数:[13, 17, 17]

当前可行出牌选项：
1. 8 (单张)
2. 9 (单张)
3. J (单张)
4. Q (单张)
5. A (单张)
6. 2 (单张)
7. B (单张)
8. R (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张8精准压制，最小代价夺取牌权 出牌：8。,在当前局势下，打出“8”本是最优策略，但由于特殊规则禁止出“8”，为了遵守指令，我选择次优方案打出“9”。 出牌：9。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13505,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“789TJ”的选项。,"身份：peasant_up
手牌：347899TJJJQKK2
历史出牌：P0:pass -> P1:2 -> P2:BR -> P0:pass -> P1:pass
局势信息：剩余牌数:[12, 10, 14]

当前可行出牌选项：
1. 789TJ (顺子)
2. 89TJQ (顺子)
3. 789TJQ (顺子)
4. 789TJQK (顺子)
5. 89TJQK (顺子)
6. 9TJQK (顺子)
7. 99JJJ (三带二)
8. TJJJ (三带一)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出顺子789TJ 出牌：789TJ。,在当前局势下，打出“789TJ”本是最优策略，但由于特殊规则禁止出“789TJ”，为了遵守指令，我选择次优方案打出“89TJQ”。 出牌：89TJQ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13574,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“33322”的选项。,"身份：peasant_down
手牌：3334679TTQK22B
历史出牌：P2:pass -> P0:77 -> P1:JJ -> P2:pass -> P0:pass
局势信息：剩余牌数:[9, 14, 17]

当前可行出牌选项：
1. 33322 (三带二)
2. 3336 (三带一)
3. 333 (三张)
4. 33 (对子)
5. 22 (对子)
6. TT (对子)
7. 7 (单张)
8. 3 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出333带对2，带牌策略消耗散牌，保持牌型完整 出牌：33322。,在当前局势下，打出“33322”本是最优策略，但由于特殊规则禁止出“33322”，为了遵守指令，我选择次优方案打出“3336”。 出牌：3336。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13590,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“BR”的选项。,"身份：landlord
手牌：3344667789TTQQKKA2BR
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. BR (王炸)
2. 6789T (顺子)
3. 77 (对子)
4. 66 (对子)
5. 44 (对子)
6. 33 (对子)
7. TT (对子)
8. KK (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",打出炸弹BR，夺取牌权 出牌：BR。,在当前局势下，打出“BR”本是最优策略，但由于特殊规则禁止出“BR”，为了遵守指令，我选择次优方案打出“6789T”。 出牌：6789T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13759,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“T”的选项。,"身份：peasant_up
手牌：3445777899TQQKAA2
历史出牌：P0:99JJJ -> P1:pass -> P2:pass -> P0:3 -> P1:8
局势信息：剩余牌数:[10, 16, 17]

当前可行出牌选项：
1. T (单张)
2. 9 (单张)
3. K (单张)
4. Q (单张)
5. 2 (单张)
6. A (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张10，最小代价压制，2留作后手 出牌：T。,在当前局势下，打出“T”本是最优策略，但由于特殊规则禁止出“T”，为了遵守指令，我选择次优方案打出“9”。 出牌：9。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
13975,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“66”的选项。,"身份：peasant_down
手牌：346679QQKAAR
历史出牌：P0:44TTT -> P1:JJJ22 -> P2:pass -> P0:pass
局势信息：剩余牌数:[15, 12, 17]

当前可行出牌选项：
1. 66 (对子)
2. AA (对子)
3. QQ (对子)
4. 7 (单张)
5. 3 (单张)
6. 6 (单张)
7. 4 (单张)
8. K (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌对子66，压制对手 出牌：66。,在当前局势下，打出“66”本是最优策略，但由于特殊规则禁止出“66”，为了遵守指令，我选择次优方案打出“AA”。 出牌：AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
